0;path;file;Fd kHz;Fg kHz;Start;End;cnt;Source name;Section
1;..\RRLPy_data\d2005_03\d_3_29.002;d_3_29.002;3180;36330;23:12;8:00;0;CasA;ns
2;..\RRLPy_data\d2005_03\d_3_30.001;d_3_30.001;3180;36330;22:28;4:00;0;VirA;ns
2;..\RRLPy_data\d2005_03\d_3_30.001;d_3_30.001;3180;36330;4:00;;84;CasA;ns
3;..\RRLPy_data\d2005_03\d_3_31.001;d_3_31.001;3180;36330;22:14;;0;VirA;ns
3;..\RRLPy_data\d2005_03\d_3_31.001;d_3_31.001;3180;36330;4:02;;87;CasA;ns
4;..\RRLPy_data\d2005_05\d_5_6.001;d_5_6.001;3180;36330;23:00;;;CasA;ew
5;..\RRLPy_data\d2005_05\d_5_7.001;d_5_7.001;3180;36330;22:20;1:00;;VirA;ew
5;..\RRLPy_data\d2005_05\d_5_7.001;d_5_7.001;3180;36330;1:02;;;G30;ew
6;..\RRLPy_data\d2005_05\d_5_8.001;d_5_8.001;3180;36330;21:20;1:00;;VirA;ew
6;..\RRLPy_data\d2005_05\d_5_8.001;d_5_8.001;3180;36330;1:02;;;G30;ew
7;..\RRLPy_data\d2005_05\d_5_9.001;d_5_9.001;3180;36330;22:00;1:00;;VirA;ew
7;..\RRLPy_data\d2005_05\d_5_9.001;d_5_9.001;3180;36330;1:02;;;G30;ew
8;..\RRLPy_data\d2005_05\d_5_9_cas.001;d_5_9_cas.001;3180;36330;7:30;;;CasA;ew
9;..\RRLPy_data\d2005_05\d_5_10.001;d_5_10.001;3180;36330;22:00;1:00;;VirA;ew
9;..\RRLPy_data\d2005_05\d_5_10.001;d_5_10.001;3180;36330;1:02;;;G50;ew
10;..\RRLPy_data\d2005_05\d_5_11.001;d_5_11.001;3180;36330;21:16;1:28;;VirA;ew
10;..\RRLPy_data\d2005_05\d_5_11.001;d_5_11.001;3180;36330;1:30;;;G60;ew
11;..\RRLPy_data\d2005_05\d_5_13.001;d_5_13.001;3180;36330;20:56;1:28;;VirA;ew
11;..\RRLPy_data\d2005_05\d_5_13.001;d_5_13.001;3180;36330;1:30;;;G60;ew
12;..\RRLPy_data\d2005_05\d_5_14.001;d_5_14.001;3180;36330;1:30;;;G60;ew
13;..\RRLPy_data\d2005_05\d_5_15.001;d_5_15.001;3180;36330;0:36;1:28;;VirA;ew
13;..\RRLPy_data\d2005_05\d_5_15.001;d_5_15.001;3180;36330;1:30;;;G70;ew
14;..\RRLPy_data\d2005_06\d_6_17.001;d_6_17.001;3180;36330;23:46;;;CasA;ew
15;..\RRLPy_data\d2005_06\d_6_18.001;d_6_18.001;3180;36330;23:02;;;G60;ew
16;..\RRLPy_data\d2005_06\d_6_19.001;d_6_19.001;3180;36330;23:08;;;G60;ew
17;..\RRLPy_data\d2005_06\d_6_19_25M.001;d_6_19_25M.001;3180;35330;;;;G60;ew
18;..\RRLPy_data\d2005_06\d_6_20_25M.001;d_6_20_25M.001;3180;35330;23:12;;;G70;ew
19;..\RRLPy_data\d2005_06\d_6_21_25M.001;d_6_21_25M.001;3180;35330;22:52;;;G70;ew
20;..\RRLPy_data\d2005_06\d_6_21_25M.002;d_6_21_25M.002;3180;35330;0:28;;;G70;ew
21;..\RRLPy_data\d2005_06\d_6_22_25M.001;d_6_22_25M.001;3180;35330;22:48;;;G70;ew
23;..\RRLPy_data\d2005_06\d_6_23_25M.001;d_6_23_25M.001;3180;35330;22:52;;;G70;ew
25;..\RRLPy_data\d2005_06\d_6_24_25M.001;d_6_24_25M.001;3180;35330;22:44;;;G80;ew
26;..\RRLPy_data\d2005_06\d_6_25_25M.001;d_6_25_25M.001;3180;35330;23:24;;;G80;ew
27;..\RRLPy_data\d2005_06\d_6_26_25M.001;d_6_26_25M.001;3180;35330;23:16;;;G80;ew
28;..\RRLPy_data\d2005_06\d_6_27_25M.001;d_6_27_25M.001;3180;35330;23:56;;;G80;ew
29;..\RRLPy_data\d2005_06\d_6_28_25M.001;d_6_28_25M.001;3180;35330;23:40;;;G80;ew
30;..\RRLPy_data\d2005_07\d_7_14.001;d_7_14.001;3180;36330;23:48;6:28;;CasA;ew
31;..\RRLPy_data\d2005_07\d_7_14.002;d_7_14.002;3180;36330;6:30;;;CasA;ew
32;..\RRLPy_data\d2005_07\d_7_15_25M.001;d_7_15_25M.001;3180;35330;23:48;;;HB21;ew
33;..\RRLPy_data\d2005_07\d_7_16_25M.001;d_7_16_25M.001;3180;35330;23:40;;;HB21;ew
34;..\RRLPy_data\d2005_07\d_7_17.002;d_7_17.002;3180;36330;6:58;;;CasA;ew
35;..\RRLPy_data\d2005_07\d_7_17_25M.001;d_7_17_25M.001;3180;35330;23:56;;;HB21;ew
36;..\RRLPy_data\d2005_07\d_7_18.001;d_7_18.001;3180;36330;23:04;;;G90;ew
37;..\RRLPy_data\d2005_07\d_7_20.001;d_7_20.001;3180;36330;23:08;;;G90;ew
38;..\RRLPy_data\d2005_07\d_7_21_25M.001;d_7_21_25M.001;3180;35330;0:26;;;G90;ew
39;..\RRLPy_data\d2005_07\d_7_22_25M.001;d_7_22_25M.001;3180;35330;23:20;;;G90;ew
40;..\RRLPy_data\d2005_07\d_7_23_25M.001;d_7_23_25M.001;3180;35330;23:20;;;G90;ew
41;..\RRLPy_data\d2005_07\d_7_25_25M.001;d_7_25_25M.001;3180;35330;23:32;;;dr21;ew
42;..\RRLPy_data\d2005_07\d_7_26_25M.001;d_7_26_25M.001;3180;35330;23:40;;;dr21;ew
43;..\RRLPy_data\d2005_07\d_7_27_25M.001;d_7_27_25M.001;3180;35330;23:08;;;dr21;ew
44;..\RRLPy_data\d2005_07\d_7_28_25M.001;d_7_28_25M.001;3180;35330;23:40;;;G100;ew
45;..\RRLPy_data\d2005_07\d_7_29_25M.001;d_7_29_25M.001;3180;35330;22:56;;;G100;ew
46;..\RRLPy_data\d2005_07\d_7_30_25M.001;d_7_30_25M.001;3180;35330;23:28;;;G100;ew
47;..\RRLPy_data\d2005_07\d_7_31_25M.001;d_7_31_25M.001;3180;35330;0:04;;;G100;ew
48;..\RRLPy_data\d2005_08\d_8_3.002;d_8_3.002;3180;36330;5:04;;;CasA;ns
49;..\RRLPy_data\d2005_08\d_8_4.002;d_8_4.002;3180;36330;5:04;;;CasA;ns
50;..\RRLPy_data\d2005_08\d_8_4_25M.001;d_8_4_25M.001;3180;35330;23:36;;;G100;ns
51;..\RRLPy_data\d2005_08\d_8_5.002;d_8_5.002;3180;36330;5:04;;;CasA;ns
52;..\RRLPy_data\d2005_08\d_8_5_25M.001;d_8_5_25M.001;3180;35330;23:24;5:00;;G100;ns
53;..\RRLPy_data\d2005_08\d_8_6.002;d_8_6.002;3180;36330;5:04;;;CasA;ns
54;..\RRLPy_data\d2005_08\d_8_6_25M.001;d_8_6_25M.001;3180;35330;23:20;;;G100;ns
55;..\RRLPy_data\d2005_08\d_8_6_25M.011;d_8_6_25M.011;3180;35330;1:48;;;G100;ns
56;..\RRLPy_data\d2005_08\d_8_7.001;d_8_7.001;3180;36330;23:58;;;CasA;ew
57;..\RRLPy_data\d2005_08\d_8_10.001;d_8_10.001;3180;36330;23:12;;;G100;ew
58;..\RRLPy_data\d2005_08\d_8_11_25M.001;d_8_11_25M.001;3180;35330;0:06;;;G110;ew
59;..\RRLPy_data\d2005_08\d_8_12_25M.001;d_8_12_25M.001;3180;35330;0:10;;;G110;ew
60;..\RRLPy_data\d2005_08\d_8_13_25M.001;d_8_13_25M.001;3180;35330;23:48;;;G110;ew
61;..\RRLPy_data\d2005_08\d_8_14_25M.001;d_8_14_25M.001;3180;35330;0:16;;;G110;ew
62;..\RRLPy_data\d2005_08\d_8_15_25M.001;d_8_15_25M.001;3180;35330;23:44;;;G100;ew
63;..\RRLPy_data\d2005_08\d_8_16_25M.001;d_8_16_25M.001;3180;35330;23:56;;;G100;ew
64;..\RRLPy_data\d2005_08\d_8_17_25M.001;d_8_17_25M.001;3180;35330;23:52;;;G120;ew
65;..\RRLPy_data\d2005_08\d_8_18_25M.001;d_8_18_25M.001;3180;35330;23:56;;;G120;ew
66;..\RRLPy_data\d2005_08\d_8_19.001;d_8_19.001;3180;36330;5:10;;;CasA;ew
67;..\RRLPy_data\d2005_08\d_8_20_25M.001;d_8_20_25M.001;3180;35330;23:56;;;G120;ew
68;..\RRLPy_data\d2005_08\d_8_21_25M.001;d_8_21_25M.001;3180;35330;0:00;;;G120;ew
69;..\RRLPy_data\d2005_08\d_8_22_25M.001;d_8_22_25M.001;3180;35330;0:04;;;G130;ew
70;..\RRLPy_data\d2005_08\d_8_23.001;d_8_23.001;3180;36330;23:38;;;G130;ew
71;..\RRLPy_data\d2005_09\d_9_19.001;d_9_19.001;2747;42310;21:15;;;CasA;ns
72;..\RRLPy_data\d2005_09\d_9_20.001;d_9_20.001;3180;42390;20:42;;;CasA;ns
73;..\RRLPy_data\d2005_09\d_9_21.001;d_9_21.001;3180;36330;22:30;;;GSH;ns
74;..\RRLPy_data\d2005_09\d_9_22.002;d_9_22.002;3180;36330;21:16;;;CasA;ns
75;..\RRLPy_data\d2005_09\d_9_22_25M.001;d_9_22_25M.001;3180;35330;23:08;;;GSH;ns
76;..\RRLPy_data\d2005_09\d_9_23.002;d_9_23.002;3180;36330;21:36;;;CasA;ns
77;..\RRLPy_data\d2005_09\d_9_23_25M.001;d_9_23_25M.001;3180;35330;23:50;;;GSH;ns
78;..\RRLPy_data\d2005_09\d_9_24.002;d_9_24.002;3180;36330;21:26;;;CasA;ns
79;..\RRLPy_data\d2005_09\d_9_24_25M.001;d_9_24_25M.001;3180;35330;23:24;;;G130;ns
80;..\RRLPy_data\d2005_09\d_9_25_25M.001;d_9_25_25M.001;3180;35330;23:12;;;G130;ns
81;..\RRLPy_data\d2005_10\d_10_27_25M.001;d_10_27_25M.001;3180;;;;;;
82;..\RRLPy_data\d2005_10\d_10_27_25M.002;d_10_27_25M.002;3180;;;;;;
83;..\RRLPy_data\d2005_10\d_10_28_25M.001;d_10_28_25M.001;3180;;;;;;
84;..\RRLPy_data\d2005_10\d_10_29_25M.001;d_10_29_25M.001;3180;;;;;;
85;..\RRLPy_data\d2005_10\d_10_30_25M.001;d_10_30_25M.001;3180;;;;;;
86;..\RRLPy_data\d2005_11\d_11_21_25M.001;d_11_21_25M.001;3180;;;;;;
87;..\RRLPy_data\d2005_11\d_11_21_25M.002;d_11_21_25M.002;3180;;;;;;
88;..\RRLPy_data\d2005_11\d_11_22_25M.001;d_11_22_25M.001;3180;;;;;;
89;..\RRLPy_data\d2005_11\d_11_23_25M.001;d_11_23_25M.001;3180;;;;;;
90;..\RRLPy_data\d2005_11\d_11_23_25M.002;d_11_23_25M.002;3180;;;;;;
91;..\RRLPy_data\d2005_11\d_11_24_25M.001;d_11_24_25M.001;3180;;;;;;
92;..\RRLPy_data\d2005_11\d_11_25_25M.001;d_11_25_25M.001;3180;;;;;;
93;..\RRLPy_data\d2005_11\d_11_25_25M.002;d_11_25_25M.002;3180;;;;;;
94;..\RRLPy_data\d2005_11\d_11_25_25M.003;d_11_25_25M.003;3180;;;;;;
95;..\RRLPy_data\d2005_11\d_11_26_25M.001;d_11_26_25M.001;3180;;;;;;
96;..\RRLPy_data\d2005_11\d_11_26_25M.002;d_11_26_25M.002;3180;;;;;;
97;..\RRLPy_data\d2005_11\d_11_26_25M.003;d_11_26_25M.003;3180;;;;;;
98;..\RRLPy_data\d2005_11\d_11_27_25M.001;d_11_27_25M.001;3180;;;;;;
99;..\RRLPy_data\d2005_11\d_11_27_25M.002;d_11_27_25M.002;3180;;;;;;
100;..\RRLPy_data\d2005_12\d_12_30_25M.001;d_12_30_25M.001;3180;;;;;;
101;..\RRLPy_data\d2005_12\d_12_30_25M.002;d_12_30_25M.002;3180;;;;;;
102;..\RRLPy_data\d2005_12\d_12_31_25M.001;d_12_31_25M.001;3180;;;;;;
103;..\RRLPy_data\d2005_12\d_12_31_25M.002;d_12_31_25M.002;3180;;;;;;
104;..\RRLPy_data\d2006_01\d_1_1_25M.001;d_1_1_25M.001;3180;;;;;;
105;..\RRLPy_data\d2006_01\d_1_1_25M.002;d_1_1_25M.002;3180;;;;;;
106;..\RRLPy_data\d2006_01\d_1_2_25M.001;d_1_2_25M.001;3180;;;;;;
107;..\RRLPy_data\d2006_01\d_1_2_25M.002;d_1_2_25M.002;3180;;;;;;
108;..\RRLPy_data\d2006_01\d_1_2_25M_casA_day.003;d_1_2_25M_casA_day.003;3180;;;;;;
109;..\RRLPy_data\d2006_01\d_1_3_25M.001;d_1_3_25M.001;3180;;;;;;
110;..\RRLPy_data\d2006_01\d_1_3_25M.002;d_1_3_25M.002;3180;;;;;;
111;..\RRLPy_data\d2006_01\d_1_3_30M.003;d_1_3_30M.003;3180;;;;;;
112;..\RRLPy_data\d2006_01\d_1_4_25M.001;d_1_4_25M.001;3180;;;;;;
113;..\RRLPy_data\d2006_01\d_1_4_25M.002;d_1_4_25M.002;3180;;;;;;
114;..\RRLPy_data\d2006_01\d_1_4_25M.004;d_1_4_25M.004;3180;;;;;;
115;..\RRLPy_data\d2006_01\d_1_4_30M.003;d_1_4_30M.003;3180;;;;;;
116;..\RRLPy_data\d2006_01\d_1_5_25M.001;d_1_5_25M.001;3180;;;;;;
117;..\RRLPy_data\d2006_01\d_1_5_25M.002;d_1_5_25M.002;3180;;;;;;
118;..\RRLPy_data\d2006_01\d_1_5_31M.003;d_1_5_31M.003;3180;;;;;;
119;..\RRLPy_data\d2006_01\d_1_6_25M.001;d_1_6_25M.001;3180;;;;;;
120;..\RRLPy_data\d2006_01\d_1_6_25M.002;d_1_6_25M.002;3180;;;;;;
121;..\RRLPy_data\d2006_01\d_1_6_30M.003;d_1_6_30M.003;3180;;;;;;
122;..\RRLPy_data\d2006_01\d_1_7_25M.001;d_1_7_25M.001;3180;;;;;;
123;..\RRLPy_data\d2006_01\d_1_7_30M.002;d_1_7_30M.002;3180;;;;;;
124;..\RRLPy_data\d2006_01\d_1_8_25M.001;d_1_8_25M.001;3180;;;;;;
125;..\RRLPy_data\d2006_01\d_1_8_25M.002;d_1_8_25M.002;3180;;;;;;
126;..\RRLPy_data\d2006_01\d_1_8_30M.003;d_1_8_30M.003;3180;;;;;;
127;..\RRLPy_data\d2006_01\d_1_9_25M.001;d_1_9_25M.001;3180;;;;;;
128;..\RRLPy_data\d2006_01\d_1_9_25M.002;d_1_9_25M.002;3180;;;;;;
129;..\RRLPy_data\d2006_01\d_1_9_30M.003;d_1_9_30M.003;3180;;;;;;
130;..\RRLPy_data\d2006_01\d_1_10_25M.001;d_1_10_25M.001;3180;;;;;;
131;..\RRLPy_data\d2006_01\d_1_10_25M.002;d_1_10_25M.002;3180;;;;;;
132;..\RRLPy_data\d2006_01\d_1_10_30M.003;d_1_10_30M.003;3180;;;;;;
